identifier,entity
ANDAMAN_and_NICOBAR,ANDAMAN-and-NICOBAR
ANDHRA_PRADESH,ANDHRA-PRADESH
ARUNACHAL_PRADESH,ARUNACHAL-PRADESH
ASSAM,ASSAM
BIHAR,BIHAR
CHANDIGARH,CHANDIGARH
CHHATTISGARH,CHHATTISGARH
DADRA_and_NAGAR_HAVELI,DADRA-and-NAGAR-HAVELI
DAMAN_and_DIU,DAMAN-and-DIU
DELHI,DELHI
GOA,GOA
GUJARAT,GUJARAT
HARYANA,HARYANA
HIMACHAL_PRADESH,HIMACHAL-PRADESH
JAMMU_and_KASHMIR,JAMMU-and-KASHMIR
JHARKHAND,JHARKHAND
KARNATAKA,KARNATAKA
KERALA,KERALA
LADAKH,LADAKH
LAKSHADWEEP,LAKSHADWEEP
MADHYA_PRADESH,MADHYA-PRADESH
MAHARASHTRA,MAHARASHTRA
MANIPUR,MANIPUR
MEGHALAYA,MEGHALAYA
MIZORAM,MIZORAM
NAGALAND,NAGALAND
ODISHA,ODISHA
PUDUCHERRY,PUDUCHERRY
PUNJAB,PUNJAB
RAJASTHAN,RAJASTHAN
SIKKIM,SIKKIM
TAMIL_NADU,TAMIL-NADU
TELANGANA,TELANGANA
TRIPURA,TRIPURA
UTTAR_PRADESH,UTTAR-PRADESH
UTTARAKHAND,UTTARAKHAND
WEST_BENGAL,WEST-BENGAL
